SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	FirstDuty-第一责任人	Fund-基金	Year-年	Volume-卷	Period-期	PageCount-页码	CLC-中图分类号	URL-网址	DOI-DOI
CJFD2021	分级诊疗对支气管哮喘患者控制管理及依从性的影响	刘霞;尹凤先;张永祥;范明鑫;刘亚男;易明;	首都医科大学大兴教学医院呼吸与危重症医学科;	中国医刊	哮喘;;社区管理;;依从性;;生活质量	"目的评估分级诊疗对支气管哮喘(简称哮喘)患者控制管理及依从性的影响。方法选择2017年1月至2018年1月在首都医科大学大兴教学医院门诊就诊的117例非急性发作期哮喘患者,使用随机数字表法随机分为管理组(59例)与对照组(58例)。管理组患者实施分级诊疗,由本院转诊至社区医院行哮喘控制管理。对照组在患者首次就诊时予以哮喘健康教育及吸入药物培训,常规门诊复诊。分别于控制管理3个月及6个月后,比较两组中吸入糖皮质激素患者的比例、吸入糖皮质激素技术评分、支气管哮喘用药依从性量表评分、哮喘控制评分、简略生活质量评分、肺功能的差异等。结果控制管理3个月后,管理组吸入糖皮质激素患者比例、吸入糖皮质激素技术评分、支气管哮喘用药依从性量表评分、哮喘控制评分均高于对照组,差异有显著性(P0.05)。控制管理6个月,管理组吸入糖皮质激素患者比例、吸入糖皮质激素技术评分、支气管哮喘用药依从性量表评分、哮喘控制评分、简略生活质量评分、第1秒用力呼气容积占预计值百分比、用力肺活量占预计值百分比、第1秒用力呼气量占用力肺活量比值均高于对照组,差异有显著性(P<0.05)。结论实施分级诊疗可有效提高支气管哮喘患者的用药依从性,改善临床症状及肺功能,提高患者的生活质量。"	2021-01-01	刘霞;	首都医科大学大兴教学医院科研课题基金（4201814217）	2021	56	01	64-66	R562.25		
CJFD2021	医联体内核心医院职工认知情况调查与建设路径思考:以中南大学湘雅医院为例	喻丹;张茂红;钱招昕;梁琳;范宇炜;董婷;	中南大学湘雅医院;中南大学医院管理研究所;	中国医院	医联体;;核心医院;;分级诊疗	"目的:了解医联体工作存在的难点与痛点,为未来进一步完善医联体建设、落实分级诊疗提供思路。方法:以中南大学湘雅医院正式职工为调查对象,排除进修生、研究生。采用自行设计的《医联体工作认知情况调查》问卷,内容包括基本情况、整体认知情况、不同合作模式认知情况、相关政策了解程度及对医联体建设工作的意见。结果:共计回收有效问卷576份,问卷回答完整率100%。59.55%的人对医联体建设工作表示满意,约35.07%的人态度中立,5.38%的人不满意;92.88%的人支持医联体建设;31.6%的人了解医联体或分级诊疗相关政策,68.41%的被调查者不了解;医联体的6种合作模式中,托管医院(97.2%)、省内定点指导双向转诊(84.03%)及远程医学服务(82.99%)知晓率较高;内部机制未理顺导致工作效率不高(60.71%)、双向转诊难以实现(58.93%)、外部配套政策不足(58.93%)、临床科室任务重难以负荷额外工作任务(50%)被普遍认为是当前医联体建设中突出存在的问题。结论:建议医联体应加强顶层设计,妥善处理内部与外部、短期与长期的关系;积极探索新的模式,寻找医联体内利益平衡点;加快信息化建设,促进资源共享提高工作效率;完善内部制度,构建医联体运行框架。"	2021-01-01	喻丹;	湘雅医院-北大未名临床与康复研究基金(xywm2015II11);; 中南大学湘雅医院管理研究基金(2015GL03)	2021	25	01	36-40	R197.32		10.19660/j.issn.1671-0592.2021.1.11
CJFD2021	智慧化床位调配系统助力分级诊疗的实践及思考	陈玲玲;仇永贵;徐安保;	南通大学附属医院;	中国医院	智慧化;;床位调配;;分级诊疗;;学科建设;;跨科收治	"为了响应国家医改号召,落实分级诊疗政策,实现三级医院的功能定位以及促进科室学科建设,南通大学附属医院实行床位统一调配。医院智慧化床位调配系统的设计将患者的病情危重程度及疑难复杂程度分解成可量化指标,系统根据患者住院预约凭证上填写的项目进行打分,按照分数高低形成排序并结合优先等级形成最终收治顺序。通过床位调配达到优先收治危急重症和疑难复杂患者,实现分级诊疗。"	2021-01-01	陈玲玲;	"南通市民生科技项目(JCZ20155,MSZ20163)"	2021	25	01	67-69	R197.32		10.19660/j.issn.1671-0592.2021.1.21
CJFD2021	河南省中医医联体建设认知情况调查	邸雅哲;臧青;	河南中医药大学第一附属医院;	财经界	中医医联体;;中医医联体建设	"中医医联体是深化医疗卫生体制改革的抓手,经过积极探索成效显著。本文通过对河南省中医医联体的调查,分析新形势下如何在医联体建设中切实加强中医药工作。"	2021-01-01	邸雅哲;	河南省中医药科学研究专项课题（2018），课题编号：TCM2018010	2021		01	164-166	R197.1		10.19887/j.cnki.cn11-4098/f.2021.01.078
DKFX2021	如何实现就医分流——以青岛市医疗改革与医患行为互动为例	苏亮;刘玉照;	杭州电子科技大学法学院;上海大学社会学院;	河北学刊	就医分流;;分级诊疗;;门诊报销;;签约制度	"""分级诊疗""作为新一轮医疗改革重点内容之一,全国各地都在积极实践,但效果参差不齐。本文以青岛市就医分流改革为研究对象,建构了一个综合宏观制度结构与微观行为的分析模型,对医疗保险制度、医疗机构、患者与医生行为进行分析,试图全面揭示就医分流背后的逻辑。研究发现,从患者角度来看,就医分流的实现得益于具有明显差异的梯级定价与收费、强制性的社区门诊报销制度和转诊制度、社区医疗卫生机构与大医院的差异化服务定位以及可信任的信息传播;从社区医生和社区医疗卫生服务机构的角度来看,对声誉的重视、按人头付费的支付方式,以及医保机构的专业监督,这三者的共同作用是避免医生""隐蔽行为""发生的重要机制。这既从经验上提供了解决""就医混流""问题的案例参考和机制分析,同时也在理论上回应了将信息经济学等微观视角纳入医疗政策分析的可能性及其重要性。"	2021-01-01	苏亮;		2021	41	01	198-206	R197.1		
CMFDTEMP	分级诊疗制度执行的优化研究	杨怡	西南财经大学	西南财经大学	医疗改革;;分级诊疗制度;;制度执行;;制度优化	"分级诊疗制度自2015年首次推行以来,已经走过了第6个年头。在漫长的医改过程中,分级诊疗制度的推行目的是为了解决现在医疗资源配置不平等,无论是医生资源还是先进的设备等资源都在向上集中的突出问题。更是为了解决人民群众在就医过程中集中反映的看病难的问题,多数群众反映虽然现在在网上挂号已经比多年前方便许多,但是患者不论病情是否严重,都往大型公立医院就诊的怪相依然层出不穷,这使得真正得了大病的患者无法得到及时且专业的救治,浪费了大量的人力物力成本在小病和慢性疾病上。分级诊疗制度的有效推行,可以真正使集中在大型公立医院所产生的医患矛盾得以缓解,并且将医疗资源进行更加有效的分配。在各省、市分级诊疗制度执行现状及进度不同的背景下,本文以基层视角,把成都市Y区作为研究对象,研究基层分级诊疗制度执行过程中所存在的问题。本文采用访谈和问卷调查两种方法,对医务人员、成都市Y区社事局卫生分管领导、工作人员以及患者、社区居民进行全方位的访谈和调查,目的在于了解现行的分级诊疗制度下,成都市Y区针对制度执行过程中存在哪些问题,并运用案例分析的方法,借鉴国内外国家和地区的优秀和先进经验,根据相关问题进行进一步的分析,最后,提出具有针对性的、具有基层视角的对策和建议。笔者通过对问题的深入剖析,提出了完善配套政策保障体系;完善激励机制,改革基层薪酬制度;加强人才队伍建设,鼓励多种形式的继续教育;建立健康服务评价机制,提高民众参与度;建立国民智能健康服务信息系统,提升服务效果等方面提出相应的制度优化建议,以期对解决分级诊疗制度执行中存在的问题,切实从基层角度为解决社区居民所苦恼的看病难问题提供有价值的意见。"	2021-01-01	杨怡		2022			76	R197.1		10.27412/d.cnki.gxncu.2022.002324
CMFD2023	基于双向转诊的上海家庭医生制度运行机制研究	孔亚欣	上海工程技术大学	上海工程技术大学	双向转诊;;家庭医生制度;;社区卫生服务;;公共医疗服务	"家庭医生制度作为推进分级诊疗的重要抓手,在上海新医改中的地位十分重要。双向转诊作为基层医疗机构与上级医院的联动方式,是深化家庭医生为居民提供连续性签约服务的有力保障。上海已进入深度老龄化社会,面对当前医疗拥挤、医疗服务连续性和可及性差、民众的医疗服务需求不满足等诸多问题,如何优化当前上海家庭医生制度的运行机制,对进一步深化医药卫生体制改革、真正做实双向转诊制度、建立良序就医格局具有重要意义。论文以上海社区居民为主要研究对象,运用协同效应理论、利益相关者理论和激励理论,通过问卷调查法和访谈法,从以下几个方面来进行研究:首先,通过发展状况、运行情况、实践特色了解上海家庭医生制度运行机制的建设情况,发现上海家庭医生制度发展良好,以长宁为首的各区县均形成了各自的特色。上海社区卫生服务中心覆盖人口平均为9.8万人,基本符合国家要求,已培养8700余名全科医生,平均每万人口3.59名,但对目前至少1.21万名全科医生的需求来说仍存在缺口。其次,对调研数据进行分析,描述性统计社区居民对家庭医生、三级医院以及双向转诊的基本情况,发现家庭医生制度覆盖率较大、转诊服务的总体性较好。针对影响居民签约家庭医生、影响签约居民接受双向转诊、影响签约居民接受社区首诊的三个方面进行单因素分析,发现患有慢性病和老年人群体会更愿意签约、接受社区首诊和双向转诊。通过因子分析发现居民对家庭医生服务满意度总体良好。然后,结合双向转诊的实施情况,并根据以上内容,分析出家庭医生制度运行过程中存在如下问题:(1)医疗机构定位模糊,逐利倾向明显;(2)基本药物制度限制,资源配置不足;(3)转诊标准不够明确,沟通还不通畅;(4)家庭医生激励不足,人才缺口较大;(5)监管制度尚不完善,配套措施缺位。因此,从运行保障、服务协调、绩效考核、质量控制四个方面基于双向转诊的上海家庭医生制度的运行机制进行优化设计,具体为(1)完善制度保障,优化顶层设计;(2)加强资源配置,提高沟通协作能力;(3)培养全科人才,丰富服务内涵;(4)建立激励与监督机制,提高岗位竞争力。希望本研究能够为完善家庭医生制度的运行机制提供理论和方法的支撑,能够缓解上海老龄化压力,真正提高医疗资源利用率,更好的维护人民群众的健康。"	2021-01-01	孔亚欣		2021		01	108	R197.1		10.27715/d.cnki.gshgj.2021.000041
CMFD2023	分级诊疗视角下上海市居民就医机构选择行为研究	黄欣晨	上海工程技术大学	上海工程技术大学	分级诊疗;;上海市;;就医机构选择行为;;结构方程模型	"“没有全民健康,就没有全民小康”,人民卫生健康问题是民生工作的重点,但居民长期以来面临“看病难”问题,这一问题的产生除了供方医疗资源配置的原因,还与需方居民的就医机构选择行为有一定关系。分级诊疗制度旨在促进就医新秩序“正三角”的形成,从而缓解居民“看病难”问题。而要实现分级诊疗制度的目标,最终要落脚于居民就医时对医疗机构的合理选择。论文在分级诊疗的视角下,对上海市居民的就医机构选择行为展开研究。论文首先从居民就医机构选择行为的环境因素出发,利用上海市宏观数据分析了上海市居民基本情况、医疗机构、医疗资源配置情况以及分级诊疗制度实施成效。其次从个体因素角度,通过中国家庭追踪调查数据分析了上海市居民就医机构选择行为现状、不同医疗机构评价情况、不合理就医机构选择行为群体的特征,利用卡方检验对不同群体的就医机构选择行为差异进行分析。此后根据理论基础对影响居民就医机构选择行为的个体因素提出假设,建立结构方程模型,对模型进行拟合和优化,得出拟合程度较优的居民就医机构选择行为影响因素模型。最后在前文基础上提出优化分级诊疗制度的措施以及规范居民就医机构选择行为的对策建议。研究得出的结论主要有:(1)从就医秩序上看上海市分级诊疗实施成效有待提高,医疗资源配置上看,存在基层与医院之间、各区域之间分布的不均衡。(2)上海市居民基层就诊比例偏低,居民对基层医疗机构就医条件满意度高于医院,对医院的医疗水平评价高于基层医疗机构。(3)女性、年龄较低、居住在城镇、离婚、文化程度低的居民更多产生不合理的就医机构选择行为,不同婚姻状态、受教育水平、医保参保情况、慢性病患病情况的人群就医机构选择存在显著差异。(4)就医态度越乐观越倾向选择基层医疗机构就医;经济资源越丰富、就医需要水平越高越倾向选择医院就医;医疗机构的评价通过影响就医态度对就医机构选择行为产生反馈作用。"	2021-01-01	黄欣晨		2021		01	107	R197.1		10.27715/d.cnki.gshgj.2021.000066
CMFD2023	长三角一体化背景下跨区域分级诊疗体系研究	陆君如	上海工程技术大学	上海工程技术大学	医疗资源配置;;专科联盟;;分级诊疗体系;;跨区域	"长三角一体化高质量发展是国家重要战略,其中,医疗卫生一体化已成为长三角吸引人才的重要公共服务支撑。在此背景下,建立和完善跨区域分级诊疗体系,是长三角医疗一体化的重要方向。由于长三角市际医疗资源配置及效率存在较大差异,优质医疗资源在上海等核心地区的聚集趋势十分显著,长三角全域有序的诊疗格局尚未形成。长三角跨区域分级诊疗体系建设尝试打破行政、地域和体制界限,提高长三角医疗卫生资源利用效率。长三角跨区域分级诊疗需要达成的任务包括:第一,通过长三角基层医疗与上海的横向整合,推动优质医疗资源下沉,促成区域医疗协同发展;第二,放大优质医疗资源溢出效应,提升基层医疗服务能力,助推长三角实现“90%大病不出县”的新医改目标。源于行政区划和地域限定,目前国内相关研究多集中于医保统筹区纵向视角下的分级诊疗。沿着区域医疗一体化快速发展的脉络,论文以医疗资源横向整合为切入点,展开长三角跨区域分级诊疗体系研究。根据研究对象界定医疗资源配置、专科联盟、跨区分级诊疗体系等核心概念,明确分析范畴,阐明理论基础,解析专科联盟与跨区域分级诊疗体系的逻辑关系。从长三角分级诊疗及医疗资源配置现状出发,剖析长三角跨区域分级诊疗体系建设动因,结合沪通肺科联盟案例分析,评估跨区域分级诊疗实践成效,探讨跨区域分级诊疗存在的问题与原因,进一步实证分析长三角跨区域分级诊疗体系建设的影响因素,并从政府参与、院间联动、机制运行和患者需求层面厘清关键因素及其权重关系,为长三角有限资源下跨区域分级诊疗体系重点环节建设提供数据支持,在此基础上构建跨区域分级诊疗体系目标模型并提出政策建议。研究认为,长三角跨区域分级诊疗首先与长三角基层医疗能力提升密不可分,夯实基层基础,才能更好实现急慢分治、上下联动和双向转诊。在长三角现存纵向分级诊疗基础上,基于专科联盟的横向医疗资源整合是长三角跨区域分级诊疗体系建设的核心。完善长三角县域为基础的跨区域分级诊疗体系,有利于长三角形成分级诊疗闭环,为长三角民众提供同质化、连续性的医疗服务。"	2021-01-01	陆君如		2021		01	106	R197.1		10.27715/d.cnki.gshgj.2021.000378
CJFD2020	整合型医疗服务的双向转诊模式	吴静娜;徐丽宏;曹智鹰;张瑛;	苏州大学附属常熟医院/常熟市第一人民医院双向转诊办公室;苏州大学附属常熟医院/常熟市第一人民医院医共体办公室;苏州大学附属常熟医院/常熟市第一人民医院信息中心;苏州大学附属常熟医院/常熟市第一人民医院护理部挂职常熟市卫健委医政医管科;	解放军医院管理杂志	整合型医疗服务;;双向转诊;;“闭环”模式	"为进一步推进常熟市区域医共体建设,规范开展分级诊疗工作,加快建立""基层首诊、双向转诊、急慢分治、上下联动""的分级诊疗服务模式,提升基层服务能力建设,是常熟市公立医疗机构改革重要目的之一。文章以整合型医疗服务理念为指导,以医共体为平台,分析目前双向转诊取得的成就,探讨下一步推进双向转诊工作,建立有序的分级诊疗工作重点。"	2020-12-30	吴静娜;	江苏省常熟市卫生和计划生育委员会科技计划项目(csws201818);; 2017年常熟市卫生和计划生育委员会科技计划项目指导性项目(常卫计人[2018]1号)	2020	27	12	1118-1120	R197.1		10.16770/J.cnki.1008-9985.2020.12.006
