SrcDatabase-来源数据库	Title-篇名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	Year-年	Period-期	URL-网址	DOI-DOI
外文会议	Two-way Referral Research Based on Simulation Optimization with Both Patient and Medical Resource Transfer Considered	Zhi-min CHEN;;Tian-yue YANG;;Yan-chun PAN;;Jian-hua MA;;Yi XIONG		DEStech Transactions on Computer Science and Engineering	Two-way referral;;Reallocation of resources;;Simulation and optimization	"Due to the unreasonable allocation of medical and health resources in urban and rural areas, many high-quality medical resources are concentrated in cities, resulting in the widespread overcrowding of large city hospitals and inadequate utilization of resources at the primary hospitals. In order to solve this problem, a sound two-way referral mechanism has been built. However, only transferring patients between medical services does not fundamentally solve the problem, there are still a large number of patients with normal disease go to the city hospitals to get their first treatment. Therefore, by using the quantitative method, this paper mainly focuses on how to stimulate the city hospital to transfer resources into primary hospitals thus patients would like to get first treatment in the primary hospital, and at the same time to promote the primary hospitals to transfer patients with serious disease to city hospital for treatment on time. This paper models and analyzes the cooperation between hospitals, explores the profit of the hospital under different combinations of referral strategies, and uses Arena to simulate the treatment process in hospitals. Finally we use the method of simulation optimization and try to find out the best referral decisions that could minimize patient's waiting time and maximize the profit of hospitals."	2018-05-15	2018	amms		
外文期刊	Le cheminement de la personne adulte ayant subi un traumatisme craniocérébral (TCC) à travers les divers établissements partenaires du consortium montréalais : une question d’efficience et de respect de l’usager	P. Vincent	Programme pour les adultes ayant subi un traumatisme craniocérébral; centre de réadaptation Lucie-Bruneau; 2275; avenue Laurier Est; Montréal QC H2H 2N8; Canada	Journal de readaptation medicale	Traumatisme craniocérébral;;Réadaptation;;Déficience physique;;Consortium de soins;;Partenariat	"Résumé(#br)Le présent article illustre comment le travail d’étroite collaboration des partenaires du consortium dégage une synergie au bénéfice des usagers et de leurs proches. Après un survol des mandats complémentaires des partenaires impliqués et des valeurs communes partagées de ces derniers, nous présenterons les moyens mis de l’avant pour assurer une transition harmonieuse, personnalisée et respectueuse des usagers tout en optimisant l’efficacité et l’efficience des processus clinico-administratifs sous-jacents."	2014-09-15	2014	3		
外文期刊	The medical alliance: from placebo response to alliance effect.	Verhulst Johan;;Kramer Douglas;;Swann Alan C;;Hale-Richlen Barbara;;Beahrs John	Department of Psychiatry and Behavioral Sciences; University of Washington; Seattle; WA 98105; USA. verhulst@u.washington.edu	The Journal of nervous and mental disease	Placebo;physician-patient relationship;concordance;medical alliance;medical education	"The natural human response to illness is to seek to understand what is happening and to look for help from others. In all cultures, one finds healers, who provide explanations and offer care. Their interventions often have a placebo effect through activation of natural healing processes in the patient. Although placebo effects are relatively large and robust, physicians generally consider placebo treatment prescientific and deceptive. We review the determinants of the placebo response and show how a particular professional alliance between a patient and a caregiver is apt to equally affect treatment outcome. We distinguish the alliance effect from the placebo effect. We develop a comprehensive model of the medical alliance, on the basis of the concept of concordance, and review its relevance for clinical practice and medical education. The alliance effect represents a professional and ethical way of activating a patient's natural healing mechanisms."	2013-07-28	2013	7		
外文期刊	Social-Security-System-Based Two-Way Referral Management Information System	Li Ying;Yi Xiao Jing;Geng Yu De	Northeast Forestry University;Qingdao University of Science Technology;Northeast Forestry University	Applied Mechanics and Materials	Social Security System;;Management Information System (MIS);;Two-Way Referral	"The two-way referral system comes into being in China with further development of community medical service. Based on investigation and survey of two-way referral system, the paper proposes the social security based two-way referral MIS, by way of the social security network linking the hospital and the community. Based on system feasibility, the paper makes functional structure overall design and function model design. The two-way referral MIS formulated in the paper can lower the two-way referral cost and help increase visiting rate and improve medical care in the community medical institution."	2011-10-01	2011	121-126		
外文期刊	UML-Based Two-Way Referral MIS Requirement Analysis	Shang Hang Biao;Li Ying;Cao Yu Kun;Tian Xin Jia	The Northeast Forest University;The Northeast Forest University;Northeast Forestry University;The Northeast Forest University	Applied Mechanics and Materials	MIS;;UML;;Two-Way Referral	"China’s community health services starts in 1997 and becomes the most important part of the urban health services system with the development of China’s social security system and community security. Two-way referral system in China came into being with the further development of community medical services. This paper studies the construction of two-way referral management information system based on the social security system platform using information management system and UML language based on the survey of the present implementation of two-way referral system. The two-way referral management information system includes the feasible analysis, the analysis of functional requirement, the on-stream analysis of two-way referral process, the on-stream analysis of two-way referral management information system, the design of functional configuration and functional module. The paper aims to reduce the cost of two-way referral and increase the visiting rate and medical care of community health service organization."	2011-10-01	2011	121-126		
											
SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	PubTime-发表时间	Year-年	Period-期	URL-网址	DOI-DOI
CCJDTEMP	医疗改革的微观基础:分级诊疗制度的发展与经验	范一凡;徐梦竹;姜达;夏志伟;	清华大学公共管理学院;北京大学第三医院;国务院发展研究中心;	社会建设研究	分级诊疗;;基层首诊;;双向转诊;;医疗改革;;医疗服务	"分级诊疗制度的建立和完善,是逐渐深入的医疗改革事业的微观基础和基本保障。一方面,它是缓解综合大医院看病压力的有效疏导措施;另一方面,也是建构层级清晰、责任明确的现代医疗体系的重要机制。本文综合考察梳理国内外主流的医疗服务体系和基本制度,重点研究了国内三个医改试点。选择神木县""全民免费医疗""、厦门""社区-医院一体化""和上海市家庭医生首诊制等三个国内重要医改试点模式,具体分析我国分级诊疗的发展现状和基本经验模式,认为分级诊疗制度的建立和完善需要明确社区卫生服务机构的服务方向,统一人才培养、设备和设施配置,全面提高医疗质量,以具有导向性、连续性、稳定性的政策确保医疗服务的公益性、公平性和效率,建立完善居民健康信息档案,为双向转诊提供信息共享和协作的条件。"	2017-02-28	2017	01		
CCJD2016	用分级诊疗统筹医改 实现强基层、促健康、可持续——厦门分级诊疗调研报告	杨叔禹;王虎峰;	厦门市卫生和计划生育委员会;中国人民大学医改研究中心;	中国卫生管理研究	分级诊疗;;医疗改革;;厦门医疗服务体系	"近年来,各地在医疗改革实践中加强对分级诊疗制度的探索,多地出台分级诊疗政策措施,启动试点工作,部分省市形成了一些初步的经验和模式。厦门市按照国家医改精神,自加压力,自觉改革,不等不靠,探索形成了""急慢分治,慢性病先行;上下一体,三师共管;柔性改革,多方共赢""的分级诊疗改革路径,用分级诊疗统筹医改,将分级诊疗同""强基层、建机制、促健康""结合起来,形成了步子稳健、管理精细、可持续性强的特点。这种做法阶段成效显著,受到了慢性病患者和基层社区医务人员的欢迎,探索出了一条推行分级诊疗的路子,打消了社会各界对分级诊疗试点的疑虑,具有较强的借鉴推广价值。"	2016-07-31	2016	00		
CCJD2016	近期国际与中国卫生医保政策进展	李滔;	国家卫生计生委卫生发展研究中心;	保险理论与实践	国际医改政策;;国际卫生政策发展趋势;;医改重点;;健康中国	"医改是世界性的难题。近年来,美国、英国、德国、法国等发达国家在完善医保筹资、组织、支付、规制等方面进行改革,以减缓医疗卫生费用快速增长带来的压力。国际卫生政策的发展趋势表现为:推广全民健康覆盖的理念;将健康融入所有政策,加强部门间合作;通过控烟、减盐、降糖等措施减少健康危险因素的影响;加强传染病防治。当前我国医改的重点包括:继续深化医改,在医疗领域处理好政府和市场关系;推进""健康中国"",从""大卫生""向""大健康""转变;提高基层医疗服务机构能力,推进分级诊疗;健全全民医保体系。"	2016-01-31	2016	01		
